Candidate,Party,Votes
QAZI MOHD NIZAMUDDIN,Indian National Congress,31352
SARWAT KAREEM ANSARI,Bahujan Samaj Party,28684
RISHIPAL BALIYAN,Bharatiya Janata Party,16964
LETESH KUMAR,Rashtriya Lok Dal,3265
USHA,Independent,333
SUNIL KUMAR,Bahujan Mukti Party,172
UBERDUR RAHAMAN,Independent,143
None of the Above,None of the Above,278
