Candidate,Party,Votes
DR. PREM SINGH,Bharatiya Janata Party,42785
GOPAL SINGH RANA,Indian National Congress,33254
SHISH RAM RANA,Bahujan Samaj Party,3174
SUNEETA RANA,Independent,1305
RITA WATI,Independent,899
MAHESH CHANDRA,Independent,386
ANSUIYA,Samajwadi Party,228
None of the Above,None of the Above,808
