Candidate,Party,Votes
DALEEP SINGH RAWAT,Bharatiya Janata Party,22246
LT. GEN(RETD) TEJPAL SINGH RAWAT  P.V.S.M  V.S.M,Indian National Congress,15771
VIKRAM SINGH RAWAT,Uttarakhand Kranti Dal,450
VED PRAKASH ARYA,Independent,434
JAGMOHAN SINGH BISHT,Independent,226
MANISH SUNDRIYAL,Independent,164
None of the Above,None of the Above,485
