Candidate,Party,Votes
VISHAN SINGH,Bharatiya Janata Party,17392
KISHAN  BHANDARI,Independent,15024
PRADEEP SINGH PAL,Indian National Congress,14470
KASHI SINGH AIRY,Uttarakhand Kranti Dal,2896
HAR GOVIND PANT,Bahujan Samaj Party,631
BIKRANT PANDAY,Independent,520
None of the Above,None of the Above,737
