Candidate,Party,Votes
PURAN SINGH FARTYAL,Bharatiya Janata Party,26468
KHUSHAL SINGH,Indian National Congress,26320
JYOTI PRAKASH TAMTA,Independent,710
PRAKASH SINGH,Independent,709
DEVILAL SHARMA ALIAS RAJU,Bahujan Samaj Party,689
RAJENDRA SINGH,Independent,363
None of the Above,None of the Above,1238
