Candidate,Party,Votes
KAILASH CHANDRA GAHTORI,Bharatiya Janata Party,36601
HEMESH KHARKWAL,Indian National Congress,19241
TRILOK CHAND SORARI,Uttarakhand Kranti Dal,939
DINESH CHANDRA,Bahujan Samaj Party,928
None of the Above,None of the Above,1044
