Candidate,Party,Votes
SURESH RATHOR,Bharatiya Janata Party,29513
S.P.SINGH ENGINEER,Indian National Congress,24725
MULKI RAJ,Bahujan Samaj Party,19483
BRAJ RANI,Independent,9338
SUBHASH CHANCHAL,Independent,1544
MADAN LAL,Independent,1077
ARVIND KUMAR,Independent,559
None of the Above,None of the Above,638
