Candidate,Party,Votes
SANJEEV ARYA,Bharatiya Janata Party,30036
SARITA ARYA,Indian National Congress,22789
HEM CHANDRA ARYA,Independent,5505
K.L ARYA,Independent,1035
SUNDER LAL ARYA,Bahujan Samaj Party,997
None of the Above,None of the Above,899
