Candidate,Party,Votes
REKHA ARYA,Bharatiya Janata Party,21780
RAJENDRA BARAKOTI,Indian National Congress,21070
PRADEEP KUMAR ARYA,Independent,841
HIMANSHU KOHLI,Bahujan Samaj Party,622
PURAN CHANDRA,Independent,263
CHANDRA PRAKASH ARYA,Independent,218
None of the Above,None of the Above,1089
