Candidate,Party,Votes
BHARAT SINGH,Bharatiya Janata Party,29333
LAXMI SINGH RANA,Indian National Congress,14701
PRADEEP PRASAD THAPLIYAL,Independent,5818
JAGMOHAN SINGH RAUTHAN,Independent,3342
SURJEET LAL,Bahujan Samaj Party,801
LALITA PRASAD,Communist Party of India,746
BHAGWATI PRASAD,Independent,711
JAI OM PRAKASH,Independent,642
JAGDISH SINGH,Independent,359
DEVENDRA PRASAD,Uttarakhand Kranti Dal,237
ANIL RAWAT,Independent,220
None of the Above,None of the Above,1266
