Candidate,Party,Votes
DIWAN SINGH BISHT,Bharatiya Janata Party,35839
RANJEET RAWAT,Indian National Congress,27228
RAJEEV AGARWAL,Bahujan Samaj Party,10766
PRABHAT DHYANI,UTTARAKHAND PARIVARTAN PARTY,1229
DHANESHWARI GHILDIYAL,Independent,397
VIJAY,Independent,364
VICHITRA SINGH,Independent,318
AKEEL,Peace Party,216
TANJEEM,Independent,153
None of the Above,None of the Above,887
