Candidate,Party,Votes
PRAKASH PANT,Bharatiya Janata Party,32941
MAYUKH MAHAR,Indian National Congress,30257
LALIT MOHAN BHATT,Independent,613
MAHENDRA SINGH,Independent,529
RAGHUVAR RAM,Bahujan Samaj Party,519
SUSHMA MATHUR,Uttarakhand Kranti Dal,304
MANOJ KUMAR JOSHI,Independent,126
KRISHNANAND KAPRI,Independent,111
RAMESH BISHT,Samajwadi Party,108
GULAJAR,Independent,78
None of the Above,None of the Above,1072
