Candidate,Party,Votes
PRITAM SINGH,Indian National Congress,34968
MADHU CHAUHAN,Bharatiya Janata Party,33425
DAULAT KUNWAR,Bahujan Samaj Party,2375
SWARAJ SINGH,Independent,723
None of the Above,None of the Above,391
