Candidate,Party,Votes
CHANDAN RAM DASS,Bharatiya Janata Party,33792
BALKRISHAN,Indian National Congress,19225
BASANT KUMAR,Bahujan Samaj Party,11038
JEEVAN LAL,Uttarakhand Kranti Dal,1207
BACHI LAL,Independent,676
None of the Above,None of the Above,1541
