Candidate,Party,Votes
ADESH SINGH CHAUHAN,Indian National Congress,42551
DR. SHAILENDRA MOHAN SINGHAL,Bharatiya Janata Party,38347
MOHAMMAD UMAR,Bahujan Samaj Party,8666
KM. SEEMA CHAUHAN,Independent,578
JAMEEL AHMAD MANSOORI,Peace Party,337
SANJAY DUTT,Independent,196
LALMAN SINGH,Independent,144
MOHAMMAD AJMAL SIDDIQI,Uttarakhand Kranti Dal (Democratic),138
RAKESH KUMAR,Independent,100
MAHENDER SINGH,Shivsena,97
None of the Above,None of the Above,644
