Candidate,Party,Votes
RAJKUMAR,Indian National Congress,17798
MALCHAND,Bharatiya Janata Party,16785
DURGESHWAR LAL,Independent,13508
RAMLAL,Bahujan Samaj Party,679
None of the Above,None of the Above,762
