Candidate,Party,Votes
PUSHKAR SINGH DHAMI,Bharatiya Janata Party,29539
BHUWAN CHANDRA KAPRI,Indian National Congress,26830
RAMESH SINGH RANA,Bahujan Samaj Party,17804
DR. LALIT SINGH,Independent,4516
RAMESH CHANDRA RANA,Independent,452
ABDUL FAREED SIDDIQUI,Uttarakhand Kranti Dal,269
RAMESH KUMAR MAX,Independent,215
BHUWAL SINGH KUSHWAHA,Bharatiya Subhash Sena,156
ANIL KUMAR RASTOGI,Shivsena,121
VINOD BHATT,Samajwadi Party,115
None of the Above,None of the Above,890
