Candidate,Party,Votes
MAHENDRA BHATT,Bharatiya Janata Party,29676
RAJENDRA SINGH BHANDARI,Indian National Congress,24042
BHARAT SINGH KUNWAR,Communist Party of India,2380
VINOD FONIA,Independent,2370
MUKESH LAL KOSHWAL,Bahujan Samaj Party,1652
ARUNA DANWASHI,Independent,916
KEERAT SINGH BHANDARI,Samajwadi Party,859
DEVENDRA SINGH NEGI,Uttarakhand Kranti Dal,487
LAXMI PRASAD SATI,Independent,335
None of the Above,None of the Above,691
