Candidate,Party,Votes
MAMTA RAKESH,Indian National Congress,44882
SUBODH RAKESH,Bharatiya Janata Party,42369
RAM KUMAR RANA,Bahujan Samaj Party,4069
PREMPATI,Samajwadi Party,889
BISHAMBER SINGH,Uttarakhand Kranti Dal,167
ADESH KUMAR,Independent,154
PREM SINGH,Independent,153
SURENDRA KUMAR,Bahujan Mukti Party,119
None of the Above,None of the Above,349
