Candidate,Party,Votes
ARVIND PANDEY,Bharatiya Janata Party,41530
RAJENDRA PAL SINGH,Indian National Congress,27424
JARNAIL SINGH (KALI),Bahujan Samaj Party,26115
SHANKAR SINGH NAGARKOTI,Independent,835
SHAHEROOM,Samajwadi Party,807
PARAMJEET KAUR,Independent,308
ANAND VISHWAS,Independent,174
KAMLESH,Independent,109
None of the Above,None of the Above,758
