Candidate,Party,Votes
NGAMTHANG HAOKIP,Indian National Congress,19467
HAOKHOLET KIPGEN,Bharatiya Janata Party,15650
SEHPU HAOKIP,Naga Peoples Front,1166
None of the Above,None of the Above,110
