Candidate,Party,Votes
NAHAKPAM INDRAJIT SINGH,Bharatiya Janata Party,10411
MD. AMIN SHAH,Indian National Congress,10031
TH. NANDAKISHOR SINGH,Manipur National Democratic Front,9190
VIVEKRAJ WANGKHEM,National People's Party,281
MD. AZIZUL HAGUE KHAN,Manipur People’s Party,80
MD. ABIR KHAN,All India Forward Bloc,69
MD. ZAMEER AHMED,All India Trinamool Congress,67
None of the Above,None of the Above,174
