Candidate,Party,Votes
LEISHANGTHEM SUSINDRO MEITEI,Bharatiya Janata Party,15005
DR. NGAIRANGBAM BIJOY SINGH,Indian National Congress,13061
R.K.AMUSANA,Communist Party of India,800
None of the Above,None of the Above,322
