Candidate,Party,Votes
RAJKUMAR IMO SINGH,Indian National Congress,9211
DR. KHWAIRAKPAM LOKEN SINGH,Bharatiya Janata Party,9192
G. SATYABATI DEVI,National People's Party,982
LAISHRAM GYANESHWAR,Independent,31
None of the Above,None of the Above,151
