Candidate,Party,Votes
T. N. HAOKIP,Indian National Congress,16354
PAOKHOLAL HAOKIP,Bharatiya Janata Party,11253
HOLKHOLUN LHUNGDIM,Lok Jan Shakti Party,6096
None of the Above,None of the Above,189
