Candidate,Party,Votes
TONGBRAM ROBINDRO SINGH,All India Trinamool Congress,6462
MOIRANGTHEM ASNIKUMAR SINGH,Bharatiya Janata Party,5457
TONGBRAM MANGIBABU SINGH,Indian National Congress,5070
HEISNAM KULACHANDRA SINGH,Nationalist Congress Party,2461
None of the Above,None of the Above,97
