Candidate,Party,Votes
ALFRED KANNGAM ARTHUR,Indian National Congress,11510
SOMATAI SHAIZA,Bharatiya Janata Party,11214
SAMUEL RISOM,Naga Peoples Front,8883
WORTHINGTON MAHUNG,Lok Jan Shakti Party,310
LETSEI HAOKIP,All India Trinamool Congress,115
None of the Above,None of the Above,46
