Candidate,Party,Votes
KHASHIM VASHUM,Naga Peoples Front,16582
SWORD VASHUM,Bharatiya Janata Party,8932
PRESHOW M.K SHIMRAY,Indian National Congress,6370
N.K. SHIMRAY,North East India Development Party,157
None of the Above,None of the Above,30
