Candidate,Party,Votes
ASHAB UDDIN,Independent,8189
THOUDAM DEBENDRA SINGH,Indian National Congress,6539
THOUNAOJAM RANABIR SINGH,Bharatiya Janata Party,3199
A. BIREN SINGH,North East India Development Party,2812
MATHIUDIN KAMEI,Naga Peoples Front,1163
HABIB ALI,National People's Party,649
None of the Above,None of the Above,389
