Candidate,Party,Votes
PUKHREM SHARATCHANDRA SINGH,Bharatiya Janata Party,11708
MAIREMBAM PRITHVIRAJ SINGH,Indian National Congress,11333
THONGAM SHANTI SINGH,Independent,8369
None of the Above,None of the Above,203
