Candidate,Party,Votes
MUHAMMAD ABDUL NASIR,Indian National Congress,10765
Y. ANTAS KHAN,Independent,9497
MD. ANWAR HUSSAIN,Bharatiya Janata Party,8456
SHEIKH KHEIRUDDIN,North East India Development Party,369
MD. ABDUL ZABAR,Manipur National Democratic Front,83
NASIR AHMAD SHEIKH,Independent,67
None of the Above,None of the Above,100
