Candidate,Party,Votes
KARAM SHYAM,Lok Jan Shakti Party,9625
O. JOY SINGH,Bharatiya Janata Party,7294
NINGOMBAM NILAKUMAR SINGH,North East India Development Party,2806
MUTUM DINESH SINGH,Manipur National Democratic Front,2035
NONGTHOMBAM SINGHAJIT,Communist Party of India,1819
LOITONGBAM TILOTAMA DEVI,Indian National Congress,983
None of the Above,None of the Above,119
