Candidate,Party,Votes
GAIKHANGAM,Indian National Congress,10255
ADIM PAMEI,Bharatiya Janata Party,5108
POU MATHIUPUANG GONMEI,Lok Jan Shakti Party,4111
KAMEI WILLIAM KABUI,All India Trinamool Congress,110
None of the Above,None of the Above,75
