Candidate,Party,Votes
SURJAKUMAR OKRAM,Indian National Congress,20781
THOKCHOM JADUMANI SINGH,Bharatiya Janata Party,11329
HAJI ASRAF ALI,National People's Party,116
None of the Above,None of the Above,133
