Candidate,Party,Votes
KHUMUKCHAM JOYKISAN SINGH,Indian National Congress,11596
JYOTIN WAIKHOM,Bharatiya Janata Party,11439
ERENDRO LEICHOMBAM,Peoples Resurgence and Justice Alliance,573
None of the Above,None of the Above,137
