Candidate,Party,Votes
YENGKHOM SURCHANDRA SINGH,Indian National Congress,11133
M. RAMESHWAR SINGH (RAMAY),Bharatiya Janata Party,10503
NAOREM ACHOUBA,Communist Party of India,2215
None of the Above,None of the Above,249
