Candidate,Party,Votes
D.D. THAISII,Indian National Congress,14038
R. YUH JONATHAN TAO,Bharatiya Janata Party,9745
THAIBA SANII,Independent,7322
SOLOMON VIENO,Independent,6553
DR. V. ALEXANDER PAO,Naga Peoples Front,5342
T.K. SAVANAI,Lok Jan Shakti Party,951
None of the Above,None of the Above,145
