Candidate,Party,Votes
LOSII DIKHO,Naga Peoples Front,25933
WOBA JORAM,Bharatiya Janata Party,10519
P.T. ARHAI,Indian National Congress,7604
R. HABA PAO,Independent,5101
None of the Above,None of the Above,59
