Candidate,Party,Votes
VUNGZAGIN VALTE,Bharatiya Janata Party,9752
CHINKHOLAL THANGSING,Indian National Congress,2583
THANGKHANGIN,Lok Jan Shakti Party,795
T. NENGZAKHAM TOMBING,National People's Party,413
P. KHAMSANGLIAN,Independent,107
None of the Above,None of the Above,37
