Candidate,Party,Votes
SANASAM BIRA SINGH,Indian National Congress,11881
NINGTHOUJAM MANGI,Bharatiya Janata Party,10570
NINGOMBAM IBOHAL MEITEI,Lok Jan Shakti Party,1057
WAHENGBAM BOBBYJAMES SINGH,Manipur National Democratic Front,180
None of the Above,None of the Above,117
