Candidate,Party,Votes
OKRAM IBOBI SINGH,Indian National Congress,18649
LEITANTHEM BASANTA SINGH,Bharatiya Janata Party,8179
LEISHANGTHEM SURESH SINGH,All India Trinamool Congress,144
IROM SHARMILA CHANU,Peoples Resurgence and Justice Alliance,90
DR. AKOIJAM MANGLEMJAO SINGH,Independent,66
None of the Above,None of the Above,143
