Candidate,Party,Votes
NONGTHOMBAM BIREN SINGH,Bharatiya Janata Party,10439
PANGEIJAM SARATCHANDRA SINGH,All India Trinamool Congress,9233
NAOROIBAM RATAN MEETEI (KAPU),Indian National Congress,7329
DR. GURUMAYUM TONSANA SHARMA,Manipur Democratic Peoples's Front,113
THOKCHOM ROMEO SINGH,Independent,91
YENGKOKPAM PRIYOKUMAR SINGH,Manipur People’s Party,59
None of the Above,None of the Above,130
