Candidate,Party,Votes
MD. FAJUR RAHIM,Indian National Congress,12474
DR. USHAM DEBEN SINGH,Bharatiya Janata Party,7713
MAYENGBAM RANJIT SINGH,North East India Development Party,5264
MD. ABDUL SAMAD,Manipur National Democratic Front,1695
MOHAMMAD HABIBUR RAHMAN,National People's Party,326
NAJIMA BIBI,Peoples Resurgence and Justice Alliance,33
None of the Above,None of the Above,117
