Candidate,Party,Votes
LETPAO HAOKIP,National People's Party,14216
TS WARNGAM,Independent,12091
S.S. OLISH,Bharatiya Janata Party,9842
BD. BEHRING ANAL,People's Democratic Alliance,3044
ST. VICTOR NUNGHLUNG,Naga Peoples Front,1574
CHUNGJALEN HAOKIP,Indian National Congress,1185
THANGKHOLUN HAOKIP,All India Trinamool Congress,221
None of the Above,None of the Above,163
