Candidate,Party,Votes
THONGAM BISWAJIT SINGH,Bharatiya Janata Party,16809
THOKCHOM AJIT SINGH,Indian National Congress,9508
L. GEETARANJAN SHARMA,All India Trinamool Congress,131
None of the Above,None of the Above,398
