Candidate,Party,Votes
D. KORUNGTHANG,Indian National Congress,16940
YANGKHOLET HAOKIP,Bharatiya Janata Party,12284
KHULPUWA ARMSTRONG CHARANG,Naga Peoples Front,11015
KH DAVID MARING,National People's Party,1300
None of the Above,None of the Above,150
