Candidate,Party,Votes
YUMNAM JOYKUMAR SINGH,National People's Party,6469
LAISHRAM NANDAKUMAR SINGH,Indian National Congress,6124
DR. NAMEIRAKPAM DWIJAMANI SINGH,Bharatiya Janata Party,5986
NAMEIRAKPAM SANTOSH SINGH,Lok Jan Shakti Party,1332
None of the Above,None of the Above,284
