Candidate,Party,Votes
KONTHOUJAM GOVINDAS,Indian National Congress,14150
KONTHOUJAM KRISHNA KUMAR SINGH,Bharatiya Janata Party,8872
KHUNDRAKPAM BHABESHWOR SINGH,Lok Jan Shakti Party,3333
THOKCHOM BINDASAKHI DEVI,All India Trinamool Congress,105
None of the Above,None of the Above,181
