Candidate,Party,Votes
AWANGBOW NEWMAI,Naga Peoples Front,15933
Z. KIKHONBOU NEWMAI,Bharatiya Janata Party,15186
G.N. KUMUITEUNG (DR. AKU),Indian National Congress,1136
None of the Above,None of the Above,40
