Candidate,Party,Votes
N. KAYISII,National People's Party,17115
M. FRANCIS NGAJOKPA,Bharatiya Janata Party,15816
K. RAINA,Naga Peoples Front,6614
DILUNGHEING,Lok Jan Shakti Party,354
L. HINGBA THOMAS,Manipur National Democratic Front,330
R.S. HENRY HIILII,Indian National Congress,305
None of the Above,None of the Above,223
