Candidate,Party,Votes
NEMCHA KIPGEN,Bharatiya Janata Party,13485
KHARGA TAMANG,Independent,11188
ATHIKHO SOLOMON ENAH,Naga Peoples Front,875
SOSHIM KEISHING,Nationalist Congress Party,228
None of the Above,None of the Above,289
