Candidate,Party,Votes
AJGAONKAR MANOHAR TRIMBAK,Maharashtrawadi Gomantak,15745
RAJENDRA ARLEKAR,Bharatiya Janata Party,9715
VIKESH RAMESH ASSOTIKAR,Indian National Congress,1013
SHIVANAND KRISHNA PILARNKAR,Aam Aadmi Party,308
GOPALDAS ANANT ARLEKAR,Goa Vikas Party,180
SANTOSH SHANKAR MANDREKAR,Nationalist Congress Party,124
NITIN MOHAN CHOPDEKAR,Bahujan Mukti Party,105
DNYANESWAR SITARAM VARKHANKAR,Goa Praja Party,71
None of the Above,None of the Above,469
