Candidate,Party,Votes
VIJAI SARDESAI,Goa Forward Party,10516
DAMU G. NAIK,Bharatiya Janata Party,9182
RANJIT COTTA CARVALHO,Aam Aadmi Party,1479
JOSE D'SILVA,Indian National Congress,1414
D. S. NAIK (DILIP),Maharashtrawadi Gomantak,155
AVIN VISHWANATH NAIK,Independent,72
None of the Above,None of the Above,220
