Candidate,Party,Votes
CHURCHILL ALEMAO,Nationalist Congress Party,9373
ROYLA CLARINA FERNANDES,Aam Aadmi Party,4182
CAETANO ROSARIO SILVA,Independent,3995
EDWINO BARRETO,Indian National Congress,2157
JOHN FERNANDES,Goa Su-Raj Party,571
MARIA DA LUZ ARLINDA GOMES E REBELO,Goa Vikas Party,492
JUDITH AURELIA BAPTISTA ALMEIDA ALIAS JUDITH ALMEIDA,Independent,357
None of the Above,None of the Above,187
