Candidate,Party,Votes
NILESH CABRAL,Bharatiya Janata Party,12830
SHYAM GOPINATH SATARDEKAR,Goa Suraksha Manch,3742
ROSARIO MARIANO FERNANDES,Indian National Congress,2778
JAMES FERNANDES,Aam Aadmi Party,2028
None of the Above,None of the Above,290
