Candidate,Party,Votes
PRASAD S. GAONKAR,Independent,7636
SUBHASH PHAL DESSAI,Bharatiya Janata Party,6699
SAVITRI KAVLEKAR,Indian National Congress,5736
DATTAPRASAD SAWARDEKAR,Independent,989
RAVINDRA ARJUN VELIP,Aam Aadmi Party,658
VASUDEV GAONKAR,Maharashtrawadi Gomantak,484
SUDESH NONI GAUNKAR,Independent,148
RAKHI NAIK,Nationalist Congress Party,125
None of the Above,None of the Above,208
