Candidate,Party,Votes
ALEIXO REGINALDO LOURENCO,Indian National Congress,12841
ARTHUR D’SILVA,Bharatiya Janata Party,5144
EDWIN DOMNIC VAZ,Aam Aadmi Party,2711
CONCEICAO DIAS,Maharashtrawadi Gomantak,240
JOSE PAULO FERNANDES,Independent,118
None of the Above,None of the Above,249
