Candidate,Party,Votes
DEEPAK PRABHU PAUSKAR,Maharashtrawadi Gomantak,14575
GANESH CHANDRU GAONKAR,Bharatiya Janata Party,9354
SHANKAR KIRLAPALKAR,Indian National Congress,991
BALKRISHNA MARATHE,Independent,152
None of the Above,None of the Above,305
