Candidate,Party,Votes
CLAFASIO DIAS,Indian National Congress,6415
JOAQUIM ALEMAO,Independent,6382
SUBHASH ALIAS RAJAN K. NAIK,Bharatiya Janata Party,5047
ELVIS GOMES,Aam Aadmi Party,3437
JOHN INACIO MONTEIRO,Goa Vikas Party,488
DEVENDRA DESSAI,Shivsena,313
DERICK DIAS,Independent,111
None of the Above,None of the Above,247
