Candidate,Party,Votes
MILIND SAGUN NAIK,Bharatiya Janata Party,8466
SANKALP AMONKAR,Indian National Congress,8326
GIOVANNI KARL VAZ,Aam Aadmi Party,267
SANJAY NAIK,Shivsena,51
PARASHURAM UMAJI SONURLEKAR,Independent,48
MARIA LIBERATA MENDONCA,Independent,31
None of the Above,None of the Above,151
