Candidate,Party,Votes
ROHAN KHAUNTE,Independent,11174
GURUPRASAD R. PAWASKAR,Bharatiya Janata Party,6961
RAJESH VALVAIKAR,Aam Aadmi Party,846
RAJESH VISHNU SINAI AMONKAR ALIAS RAJESH AMONKAR,Maharashtrawadi Gomantak,222
WILBUR FREDRICK TICLO,Independent,144
RAJU D'SOUZA,Samajwadi Janata Party (ChandraShekhar),133
None of the Above,None of the Above,176
