Candidate,Party,Votes
MICHAEL VINCENT LOBO,Bharatiya Janata Party,11136
JOSEPH ROBERT SEQUEIRA,Indian National Congress,7311
GODWIN FERNANDES,Aam Aadmi Party,1465
None of the Above,None of the Above,172
