Candidate,Party,Votes
SUBHASH ANKUSH SHIRODKAR,Indian National Congress,11156
MAHADEV NARAYAN NAIK,Bharatiya Janata Party,6286
ABHAY RAMCHANDRA PRABHU,Maharashtrawadi Gomantak,5815
MOLU ANAND VELIP,Aam Aadmi Party,586
NILESH GOVIND GAONKAR,Independent,447
DIYA CHANDRAKANT SHETKAR,Independent,140
None of the Above,None of the Above,194
