Candidate,Party,Votes
ANTONIO CAETANO  FERNANDES,Indian National Congress,6202
HEMANT DINANATH GOLATKAR,Bharatiya Janata Party,5560
RODOLFO LOUIS FERNANDES,Independent,5262
PRAKASH GOPI NAIK,Maharashtrawadi Gomantak,2707
JOSE VINCENT GOMES,Aam Aadmi Party,1712
HELENA LOURENCO,Independent,227
PEDRO CAITANO PIRES ALIAS PETER PIRES,Communist Party of India,106
SHAKEEL JAMAL SHAIKH,Nationalist Congress Party,75
JOSE LOPES,Independent,61
None of the Above,None of the Above,303
